# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
max;59;2021-10-06 02:51:01 UTC;1452744;5403196;1802772;23.77;140200;3365796;4736460;57.14;2340708;2895900;564
max;60;2021-10-06 02:52:01 UTC;1448696;5401876;1804068;23.79;140200;3368508;4732116;57.09;2342432;2898620;256
max;60;2021-10-06 02:53:01 UTC;1440556;5396176;1809740;23.86;140200;3370948;4734208;57.12;2348616;2901060;844
max;60;2021-10-06 02:54:01 UTC;1426992;5385336;1820560;24.00;140200;3373668;4736696;57.15;2359036;2903764;632
max;60;2021-10-06 02:55:01 UTC;1414064;5375024;1830864;24.14;140200;3376288;4739036;57.17;2368864;2906396;988
max;60;2021-10-06 02:56:01 UTC;1411696;5375640;1830092;24.13;140204;3379268;4739116;57.17;2367964;2909392;720
max;60;2021-10-06 02:57:01 UTC;1403116;5369884;1836036;24.21;140204;3382088;4731164;57.08;2375164;2912220;488
max;60;2021-10-06 02:58:01 UTC;1393160;5362588;1843348;24.30;140204;3384744;4735000;57.12;2381812;2914832;220
max;60;2021-10-06 02:59:01 UTC;1390964;5362836;1842948;24.30;140204;3387240;4740416;57.19;2380700;2917320;596
max;60;2021-10-06 03:00:01 UTC;1379592;5354104;1851864;24.42;140204;3389884;4741364;57.20;2389932;2919960;1064
max;60;2021-10-06 03:01:01 UTC;1374524;5351732;1854148;24.45;140204;3392576;4740052;57.19;2392480;2922652;792
max;60;2021-10-06 03:02:01 UTC;1362932;5342644;1863364;24.57;140204;3395080;4737252;57.15;2402204;2925156;652
max;60;2021-10-06 03:03:01 UTC;1362380;5344728;1861336;24.54;140204;3397716;4736672;57.15;2400288;2927788;584
max;60;2021-10-06 03:04:01 UTC;1347696;5332536;1873348;24.70;140204;3400200;4804820;57.97;2411772;2930276;584
max;60;2021-10-06 03:05:01 UTC;1344912;5332276;1873556;24.70;140204;3402740;4800748;57.92;2412476;2932812;508
max;60;2021-10-06 03:06:01 UTC;1341092;5330828;1874996;24.72;140204;3405104;4803660;57.95;2414252;2935172;176
max;60;2021-10-06 03:07:01 UTC;1333712;5325964;1879676;24.78;140204;3407620;4804956;57.97;2418608;2937684;988
max;60;2021-10-06 03:08:01 UTC;1328956;5323592;1882172;24.81;140204;3410004;4804528;57.96;2421164;2940068;592
max;60;2021-10-06 03:09:01 UTC;1322428;5319620;1886480;24.87;140204;3412524;4802860;57.94;2425016;2942588;388
max;60;2021-10-06 03:10:01 UTC;1311600;5311316;1894832;24.98;140204;3415044;4807960;58.01;2432524;2945112;308
max;60;2021-10-06 03:11:01 UTC;1307316;5309828;1895984;25.00;140204;3417844;4804556;57.96;2434104;2947908;772
max;60;2021-10-06 03:12:01 UTC;1303040;5308252;1897556;25.02;140204;3420544;4804144;57.96;2435912;2950608;852
max;60;2021-10-06 03:13:01 UTC;1296748;5304344;1901580;25.07;140204;3422928;4802696;57.94;2440144;2952992;724
max;60;2021-10-06 03:14:01 UTC;1285212;5295580;1910280;25.19;140204;3425680;4809068;58.02;2448032;2955744;876
max;60;2021-10-06 03:15:01 UTC;1275460;5288500;1917400;25.28;140204;3428352;4809160;58.02;2455664;2958408;664
max;60;2021-10-06 03:16:01 UTC;1263504;5279168;1926812;25.40;140204;3430972;4812432;58.06;2464068;2961028;488
max;60;2021-10-06 03:17:01 UTC;1259992;5278228;1927744;25.42;140204;3433548;4806952;57.99;2464128;2963604;676
max;60;2021-10-06 03:18:01 UTC;1254740;5275448;1930652;25.45;140204;3436020;4805604;57.98;2467596;2966076;1280
max;60;2021-10-06 03:19:01 UTC;1248068;5271340;1934564;25.51;140204;3438584;4809304;58.02;2471952;2968640;804
max;60;2021-10-06 03:20:01 UTC;1234880;5260692;1945176;25.65;140204;3441124;4878380;58.85;2482152;2971180;968
max;60;2021-10-06 03:21:01 UTC;1229432;5257876;1948244;25.69;140204;3443760;4875992;58.83;2484244;2973812;556
max;60;2021-10-06 03:22:01 UTC;1215924;5246900;1959176;25.83;140204;3446288;4878712;58.86;2495984;2976344;536
max;60;2021-10-06 03:23:01 UTC;1211468;5245060;1960656;25.85;140204;3448904;4873648;58.80;2498068;2978960;684
max;60;2021-10-06 03:24:01 UTC;1206112;5242328;1963476;25.89;140204;3451528;4872520;58.78;2501540;2981584;404
max;60;2021-10-06 03:25:01 UTC;1197880;5237004;1969172;25.96;140204;3453960;4874136;58.80;2505240;2984488;836
max;60;2021-10-06 03:26:01 UTC;1194432;5236056;1970196;25.98;140204;3456460;4878556;58.86;2507148;2986988;556
max;60;2021-10-06 03:27:01 UTC;1346900;5390932;1815604;23.94;140204;3458868;4874012;58.80;2348336;2989396;548
max;60;2021-10-06 03:28:01 UTC;1386972;5433536;1772932;23.37;140204;3461400;4876260;58.83;2305788;2991928;964
max;60;2021-10-06 03:29:01 UTC;1382872;5432040;1774456;23.39;140204;3464000;4875160;58.82;2307124;2994532;1000
max;60;2021-10-06 03:30:01 UTC;1386464;5438068;1768280;23.31;140204;3466440;4869484;58.75;2302264;2996968;692
max;60;2021-10-06 03:31:01 UTC;1383260;5437484;1769264;23.33;140204;3469056;4874084;58.80;2302712;2999588;544
max;60;2021-10-06 03:32:01 UTC;1379840;5436624;1769900;23.33;140204;3471616;4873952;58.80;2302832;3002148;408
max;60;2021-10-06 03:33:01 UTC;1376312;5435660;1770864;23.35;140204;3474180;4868108;58.73;2304728;3004712;420
max;60;2021-10-06 03:34:01 UTC;1373300;5435176;1771572;23.36;140204;3476708;4871904;58.78;2304904;3007240;56
max;60;2021-10-06 03:35:02 UTC;1379780;5434116;1772220;23.37;140204;3469168;4884532;58.93;2304800;2999700;904
max;59;2021-10-06 03:36:01 UTC;1380888;5437544;1768976;23.32;140204;3471488;4878128;58.85;2302280;3002032;732
max;60;2021-10-06 03:37:01 UTC;1377508;5436668;1769788;23.33;140204;3473992;4876236;58.83;2302568;3004524;580
max;60;2021-10-06 03:38:01 UTC;1375212;5436696;1769648;23.33;140204;3476320;4871144;58.77;2303260;3006864;556
max;60;2021-10-06 03:39:01 UTC;1364204;5428184;1778456;23.45;140204;3478824;4869256;58.74;2312216;3009352;448
max;60;2021-10-06 03:40:01 UTC;1350572;5416944;1789680;23.60;140204;3481228;4868684;58.74;2322968;3011776;988
max;60;2021-10-06 03:41:01 UTC;1347200;5416020;1790588;23.61;140204;3483676;4878812;58.86;2323944;3014232;792
max;60;2021-10-06 03:42:01 UTC;1340752;5411876;1794552;23.66;140204;3485980;4872872;58.79;2326868;3016512;752
max;60;2021-10-06 03:43:01 UTC;1337060;5410628;1796016;23.68;140204;3488424;4871356;58.77;2328288;3018964;804
max;60;2021-10-06 03:44:01 UTC;1328928;5405016;1801412;23.75;140204;3490940;4876632;58.83;2333984;3021496;832
max;60;2021-10-06 03:45:01 UTC;1322076;5400888;1805696;23.81;140204;3493668;4877688;58.85;2339356;3024232;624
max;60;2021-10-06 03:46:01 UTC;1367404;5399512;1807028;23.82;140204;3447264;4873808;58.80;2340560;2977796;396
max;60;2021-10-06 03:47:01 UTC;1361544;5396228;1810264;23.87;140204;3449836;4874728;58.81;2343252;2980364;972
max;60;2021-10-06 03:48:01 UTC;1353876;5391096;1815536;23.94;140204;3452404;4876408;58.83;2348100;2982928;760
max;60;2021-10-06 03:49:01 UTC;1345212;5384924;1821728;24.02;140204;3454812;4873548;58.80;2354968;2985336;416
max;60;2021-10-06 03:50:01 UTC;1336928;5379312;1827144;24.09;140204;3457488;4879156;58.86;2359960;2988012;248
max;60;2021-10-06 03:51:01 UTC;1328272;5372848;1833484;24.17;140204;3459672;4873608;58.80;2367212;2990192;740
max;60;2021-10-06 03:52:01 UTC;1325912;5372588;1833988;24.18;140204;3461764;4877236;58.84;2367300;2992288;716
max;60;2021-10-06 03:53:01 UTC;1313872;5363676;1842872;24.30;140204;3464896;4875536;58.82;2375636;2995416;544
max;60;2021-10-06 03:54:01 UTC;1304984;5357364;1849020;24.38;140204;3467468;4873508;58.80;2381848;2997992;416
max;60;2021-10-06 03:55:01 UTC;1294064;5348532;1857836;24.49;140204;3469556;4877780;58.85;2389712;3000080;1132
max;60;2021-10-06 03:56:01 UTC;1288724;5345364;1861044;24.54;140204;3471732;4877860;58.85;2394200;3002252;832
max;60;2021-10-06 03:57:01 UTC;1287548;5346180;1860196;24.53;140204;3473720;4873208;58.79;2392932;3004244;772
max;60;2021-10-06 03:58:01 UTC;1281456;5342236;1864264;24.58;140204;3475864;4875252;58.82;2396924;3006388;544
max;60;2021-10-06 03:59:01 UTC;1280740;5343592;1863000;24.56;140204;3477992;4877028;58.84;2395764;3008512;400
max;60;2021-10-06 04:00:01 UTC;1278244;5343268;1863308;24.57;140204;3480160;4880044;58.87;2396296;3010684;896
max;60;2021-10-06 04:01:01 UTC;1264832;5331760;1874748;24.72;140204;3482064;4872936;58.79;2407272;3012592;644
max;60;2021-10-06 04:02:01 UTC;1258572;5327680;1878976;24.77;140204;3484244;4872728;58.79;2412936;3014768;680
max;60;2021-10-06 04:03:01 UTC;1257468;5328524;1878132;24.76;140204;3486172;4873668;58.80;2411956;3016696;772
max;60;2021-10-06 04:04:01 UTC;1254264;5327472;1879272;24.78;140204;3488328;4876072;58.83;2412056;3018844;612
max;60;2021-10-06 04:05:01 UTC;1249580;5324840;1882004;24.81;140204;3490376;4868220;58.73;2415116;3020896;368
max;60;2021-10-06 04:06:01 UTC;1257140;5324464;1882172;24.81;140204;3482440;4878040;58.85;2414736;3012960;1208
max;60;2021-10-06 04:07:01 UTC;1249928;5319268;1887544;24.89;140204;3484456;4869772;58.75;2419912;3014976;836
max;60;2021-10-06 04:08:01 UTC;1248336;5319616;1887092;24.88;140204;3486400;4877292;58.84;2420652;3016916;724
max;60;2021-10-06 04:09:01 UTC;1242876;5316136;1890336;24.92;140204;3488376;4874624;58.81;2423272;3018896;356
max;60;2021-10-06 04:10:01 UTC;1223448;5299240;1907272;25.15;140204;3490908;4876272;58.83;2439276;3021428;852
max;60;2021-10-06 04:11:01 UTC;1217536;5295864;1910448;25.19;140204;3493444;4877352;58.84;2443644;3023964;900
max;60;2021-10-06 04:12:01 UTC;1211816;5292736;1913788;25.23;140204;3496036;4876928;58.84;2446308;3026556;752
max;60;2021-10-06 04:13:01 UTC;1210488;5293816;1912892;25.22;140204;3498444;4875728;58.82;2446148;3028948;896
max;60;2021-10-06 04:14:01 UTC;1194880;5280840;1925748;25.39;140204;3501076;4878296;58.85;2458368;3031580;824
max;60;2021-10-06 04:15:01 UTC;1189532;5277628;1929120;25.43;140204;3503264;4878552;58.86;2461268;3033768;416
max;60;2021-10-06 04:16:01 UTC;1188808;5279176;1927192;25.41;140204;3505536;4869700;58.75;2460516;3036040;472
max;60;2021-10-06 04:17:01 UTC;1184784;5277500;1929160;25.43;140204;3507860;4879104;58.86;2461912;3038364;888
max;60;2021-10-06 04:18:01 UTC;1178364;5273540;1932968;25.48;140204;3510320;4877680;58.85;2466176;3040824;720
max;60;2021-10-06 04:19:01 UTC;1176396;5273948;1932292;25.48;140204;3512696;4881136;58.89;2464856;3043200;564
max;60;2021-10-06 04:20:01 UTC;1236168;5273312;1932872;25.48;140204;3452436;4878552;58.86;2465476;2982928;452
max;60;2021-10-06 04:21:02 UTC;1227296;5266988;1939344;25.57;140204;3454976;4878296;58.85;2472304;2985468;912
max;59;2021-10-06 04:22:01 UTC;1215300;5257656;1948760;25.69;140204;3457640;4878552;58.86;2480848;2988132;952
max;60;2021-10-06 04:23:01 UTC;1213624;5258444;1948244;25.69;140204;3460100;4871560;58.77;2481632;2990596;616
max;60;2021-10-06 04:24:01 UTC;1207316;5254468;1952312;25.74;140204;3462424;4877300;58.84;2485344;2992912;624
max;60;2021-10-06 04:25:01 UTC;1195844;5245420;1961236;25.86;140204;3464840;4872364;58.78;2494892;2995344;432
max;60;2021-10-06 04:26:01 UTC;1192404;5244452;1962092;25.87;140204;3467308;4876220;58.83;2494804;2997812;240
max;60;2021-10-06 04:27:01 UTC;1189156;5243632;1962912;25.88;140204;3469736;4874828;58.81;2495276;3000240;1072
max;60;2021-10-06 04:28:01 UTC;1182852;5239664;1966720;25.93;140204;3472076;4878640;58.86;2499276;3002568;632
max;60;2021-10-06 04:29:01 UTC;1178796;5238208;1968160;25.95;140204;3474668;4875800;58.82;2500124;3005184;780
max;60;2021-10-06 04:30:01 UTC;1176280;5238092;1968584;25.95;140204;3477068;4878296;58.85;2501608;3007584;416
max;60;2021-10-06 04:31:01 UTC;1171528;5235828;1970732;25.98;140204;3479556;4877572;58.85;2503448;3010056;960
max;60;2021-10-06 04:32:01 UTC;1163212;5229864;1976644;26.06;140204;3481908;4874404;58.81;2508776;3012424;856
max;60;2021-10-06 04:33:01 UTC;1160092;5229368;1977112;26.07;140204;3484532;4878552;58.86;2509028;3015036;844
max;60;2021-10-06 04:34:01 UTC;1153968;5225652;1980824;26.12;140204;3486940;4876836;58.84;2512728;3017476;636
max;60;2021-10-06 04:35:01 UTC;1142224;5215848;1990852;26.25;140184;3488932;4879324;58.87;2527920;3020172;300
max;60;2021-10-06 04:36:01 UTC;1139412;5215216;1991212;26.25;140184;3491140;4876240;58.83;2528540;3022368;1156
max;60;2021-10-06 04:37:02 UTC;1142836;5211072;1995248;26.31;140184;3483572;4872920;58.79;2532908;3014800;1328
max;59;2021-10-06 04:38:01 UTC;1137388;5207716;1998764;26.35;140184;3485664;4874564;58.81;2535652;3016896;660
max;60;2021-10-06 04:39:01 UTC;1128828;5201044;2005504;26.44;140184;3487552;4877104;58.84;2543296;3018780;312
max;60;2021-10-06 04:40:01 UTC;1128968;5203288;2003168;26.41;140184;3489652;4879644;58.87;2540812;3020884;788
max;60;2021-10-06 04:41:01 UTC;1126564;5202816;2003624;26.42;140184;3491592;4874456;58.81;2541272;3022816;608
max;60;2021-10-06 04:42:01 UTC;1120448;5198728;2007604;26.47;140184;3493620;4874336;58.81;2544812;3024844;652
max;60;2021-10-06 04:43:01 UTC;1117808;5197992;2008328;26.48;140184;3495516;4879900;58.87;2545556;3026744;468
max;60;2021-10-06 04:44:01 UTC;1111120;5193452;2012976;26.54;140184;3497684;4871492;58.77;2549900;3028912;600
max;60;2021-10-06 04:45:01 UTC;1102856;5187308;2019156;26.62;140184;3499808;4879708;58.87;2556048;3031032;652
max;60;2021-10-06 04:46:01 UTC;1099612;5186116;2020388;26.64;140184;3501868;4880068;58.88;2557956;3033100;828
max;60;2021-10-06 04:47:01 UTC;1095640;5184080;2022056;26.66;140184;3503808;4878748;58.86;2559804;3035036;684
max;60;2021-10-06 04:48:01 UTC;1090184;5180692;2026060;26.71;140184;3505880;4880748;58.88;2563692;3037108;556
max;60;2021-10-06 04:49:01 UTC;1079668;5172636;2034184;26.82;140184;3508236;4950356;59.72;2571944;3039464;500
max;60;2021-10-06 04:50:01 UTC;1072612;5167948;2038912;26.88;140184;3510604;4946844;59.68;2575180;3041828;756
max;60;2021-10-06 04:51:01 UTC;1068244;5166124;2040396;26.90;140184;3513168;4943344;59.64;2577780;3044392;812
max;60;2021-10-06 04:52:01 UTC;1059080;5159456;2047104;26.99;140184;3515660;4945900;59.67;2581028;3046888;916
max;60;2021-10-06 04:53:01 UTC;1052420;5155416;2051000;27.04;140184;3518276;4943756;59.64;2584788;3049504;816
max;60;2021-10-06 04:54:01 UTC;1105320;5148180;2058356;27.14;140184;3458212;4944696;59.65;2590088;2989440;716
max;60;2021-10-06 04:55:01 UTC;1096036;5141496;2064948;27.22;140184;3460780;4945740;59.67;2597396;2992008;480
max;60;2021-10-06 04:56:01 UTC;1084720;5132624;2073608;27.34;140184;3463176;4947088;59.68;2605632;2994404;816
max;60;2021-10-06 04:57:01 UTC;1082044;5132540;2073872;27.34;140184;3465764;4943788;59.64;2605736;2996992;644
max;60;2021-10-06 04:58:01 UTC;1077240;5130140;2076704;27.38;140184;3468156;4944576;59.65;2608100;2999388;588
max;60;2021-10-06 04:59:01 UTC;1067792;5123216;2083528;27.47;140184;3470684;4942000;59.62;2615884;3001908;388
max;60;2021-10-06 05:00:01 UTC;1064636;5122616;2084140;27.48;140184;3473236;4943552;59.64;2621136;3004464;804
max;60;2021-10-06 05:01:01 UTC;1054188;5114684;2092012;27.58;140184;3475768;4947680;59.69;2626352;3006992;992
max;60;2021-10-06 05:02:01 UTC;1051128;5114172;2092636;27.59;140184;3478316;4945800;59.67;2627728;3009544;864
max;60;2021-10-06 05:03:01 UTC;1042592;5108220;2098348;27.66;140184;3480900;4945660;59.67;2632272;3012128;736
max;60;2021-10-06 05:04:01 UTC;1036936;5105076;2101436;27.71;140184;3483412;4948064;59.70;2636100;3014640;492
max;60;2021-10-06 05:05:01 UTC;1033924;5094220;2112348;27.85;140184;3475568;5011224;60.46;2644624;3006796;1228
max;60;2021-10-06 05:06:01 UTC;1027400;5090044;2116512;27.90;140184;3477916;5019184;60.55;2650724;3009144;692
max;60;2021-10-06 05:07:01 UTC;1167556;5232760;1973996;26.03;140184;3480476;5013228;60.48;2504792;3011704;768
max;60;2021-10-06 05:08:01 UTC;1330332;5397904;1808544;23.84;140184;3482844;5017124;60.53;2339252;3014072;696
max;60;2021-10-06 05:09:01 UTC;1333908;5404032;1802472;23.76;140184;3485396;5013700;60.49;2333864;3016624;496
max;60;2021-10-06 05:10:01 UTC;1331300;5403920;1802252;23.76;140184;3487892;5013456;60.48;2333528;3019120;208
max;60;2021-10-06 05:11:01 UTC;1330412;5405528;1801212;23.75;140184;3490404;5016440;60.52;2332812;3021632;1056
max;60;2021-10-06 05:12:01 UTC;1326804;5404368;1801916;23.76;140184;3492852;5016712;60.52;2332716;3024080;920
max;60;2021-10-06 05:13:01 UTC;1323128;5403240;1803116;23.77;140184;3495404;5016096;60.52;2334752;3026628;680
max;60;2021-10-06 05:14:01 UTC;1319852;5402444;1804304;23.79;140184;3497896;5017036;60.53;2335916;3029136;576
max;60;2021-10-06 05:15:01 UTC;1317260;5402304;1804240;23.79;140184;3500392;5016324;60.52;2335976;3031620;472
max;60;2021-10-06 05:16:01 UTC;1316300;5403812;1802960;23.77;140184;3502860;5011980;60.47;2335324;3034100;320
max;60;2021-10-06 05:17:01 UTC;1313252;5403112;1803768;23.78;140184;3505212;5015680;60.51;2335216;3036436;372
max;60;2021-10-06 05:18:01 UTC;1310268;5402672;1804172;23.79;140184;3507752;5012372;60.47;2335540;3038980;1172
max;60;2021-10-06 05:19:01 UTC;1307716;5402536;1804100;23.79;140184;3510164;5016096;60.52;2335524;3041416;884
max;60;2021-10-06 05:20:01 UTC;1291936;5389328;1817436;23.96;140184;3512736;5017016;60.53;2349508;3043916;848
max;60;2021-10-06 05:21:02 UTC;1289652;5389480;1817344;23.96;140184;3515168;5010912;60.45;2348464;3046360;532
